corpus	variant	clones	dup_lines	pct	gapped	time
symfony-console	original (phar)	7	136	0.27%	-	0.33s
symfony-console	rk	7	136	0.27%	0	0.39s
symfony-console	rk+fuzzy	56	1504	3.04%	0	0.42s
symfony-console	rk+anchored	53	1420	2.87%	0	0.45s
symfony-console	st (ed=3)	-	-	-	-	skipped
symfony-console	tb (sim=0.7)	45	1349	2.73%	0	0.38s
symfony-console	tb+fuzzy (sim=0.7)	80	2178	4.40%	0	0.23s
