corpus	variant	clones	dup_lines	pct	gapped	time
symfony-string	original (phar)	1	35	0.33%	-	0.49s
symfony-string	rk	1	35	0.33%	0	0.28s
symfony-string	rk+fuzzy	28	3965	36.87%	0	0.36s
symfony-string	rk+anchored	25	3737	34.75%	0	0.37s
symfony-string	tb (sim=0.7)	3	257	2.39%	0	0.13s
symfony-string	tb+fuzzy (sim=0.7)	5	176	1.64%	0	0.13s
